Item_ID,Item_Name,Grade,Price,Grid_Size
1,G1_Item_1,1,902,9
2,G1_Item_2,1,885,4
3,G1_Item_3,1,754,2
4,G1_Item_4,1,609,8
5,G1_Item_5,1,602,3
6,G1_Item_6,1,599,4
7,G1_Item_7,1,507,4
8,G1_Item_8,1,486,4
9,G1_Item_9,1,483,4
10,G1_Item_10,1,470,4
11,G1_Item_11,1,438,4
12,G1_Item_12,1,437,6
13,G1_Item_13,1,414,4
14,G1_Item_14,1,414,4
15,G1_Item_15,1,411,4
16,G1_Item_16,1,388,3
17,G1_Item_17,1,386,6
18,G1_Item_18,1,384,4
19,G1_Item_19,1,377,4
20,G1_Item_20,1,369,4
21,G1_Item_21,1,360,2
22,G1_Item_22,1,360,4
23,G1_Item_23,1,346,2
24,G1_Item_24,1,346,2
25,G1_Item_25,1,345,4
26,G1_Item_26,1,344,2
27,G1_Item_27,1,341,4
28,G1_Item_28,1,340,2
29,G1_Item_29,1,338,4
30,G1_Item_30,1,331,1
31,G1_Item_31,1,320,2
32,G1_Item_32,1,317,4
33,G1_Item_33,1,315,2
34,G1_Item_34,1,315,4
35,G1_Item_35,1,308,1
36,G1_Item_36,1,305,2
37,G1_Item_37,1,304,2
38,G1_Item_38,1,299,3
39,G1_Item_39,1,277,2
40,G1_Item_40,1,276,3
41,G1_Item_41,1,265,2
42,G1_Item_42,1,257,2
43,G1_Item_43,1,248,2
44,G1_Item_44,1,248,2
45,G1_Item_45,1,247,2
46,G1_Item_46,1,221,1
47,G1_Item_47,1,221,1
48,G1_Item_48,1,218,2
49,G1_Item_49,1,209,1
50,G1_Item_50,1,207,2
51,G1_Item_51,1,205,2
52,G1_Item_52,1,200,1
53,G1_Item_53,1,200,1
54,G1_Item_54,1,200,1
55,G1_Item_55,1,198,1
56,G1_Item_56,1,192,1
57,G1_Item_57,1,192,1
58,G1_Item_58,1,189,1
59,G1_Item_59,1,186,1
60,G1_Item_60,1,185,1
61,G1_Item_61,1,184,1
62,G1_Item_62,1,184,1
63,G1_Item_63,1,179,1
64,G1_Item_64,1,178,1
65,G1_Item_65,1,170,1
66,G1_Item_66,1,169,1
67,G1_Item_67,1,169,1
68,G1_Item_68,1,168,1
69,G1_Item_69,1,168,1
70,G1_Item_70,1,161,1
71,G1_Item_71,1,160,1
72,G1_Item_72,1,156,2
73,G1_Item_73,1,150,1
74,G1_Item_74,1,149,1
75,G1_Item_75,1,146,1
76,G1_Item_76,1,146,1
77,G1_Item_77,1,146,1
78,G1_Item_78,1,146,1
79,G1_Item_79,1,143,1
80,G1_Item_80,1,142,4
81,G1_Item_81,1,139,1
82,G1_Item_82,1,138,1
83,G1_Item_83,1,137,1
84,G1_Item_84,1,137,1
85,G1_Item_85,1,135,1
86,G1_Item_86,1,134,1
87,G1_Item_87,1,127,1
88,G1_Item_88,1,126,1
89,G1_Item_89,1,125,1
90,G1_Item_90,1,123,1
91,G1_Item_91,1,123,1
92,G1_Item_92,1,123,1
93,G1_Item_93,1,123,1
94,G1_Item_94,1,120,1
95,G1_Item_95,1,117,1
96,G1_Item_96,1,115,1
97,G1_Item_97,1,114,1
98,G1_Item_98,1,112,3
99,G1_Item_99,1,107,2
100,G1_Item_100,1,107,1
101,G2_Item_1,2,5129,12
102,G2_Item_2,2,2415,6
103,G2_Item_3,2,2297,3
104,G2_Item_4,2,2016,6
105,G2_Item_5,2,1835,4
106,G2_Item_6,2,1776,2
107,G2_Item_7,2,1481,4
108,G2_Item_8,2,1480,4
109,G2_Item_9,2,1452,5
110,G2_Item_10,2,1440,4
111,G2_Item_11,2,1433,4
112,G2_Item_12,2,1426,2
113,G2_Item_13,2,1426,9
114,G2_Item_14,2,1411,4
115,G2_Item_15,2,1375,4
116,G2_Item_16,2,1346,4
117,G2_Item_17,2,1274,4
118,G2_Item_18,2,1267,4
119,G2_Item_19,2,1258,4
120,G2_Item_20,2,1246,4
121,G2_Item_21,2,1240,6
122,G2_Item_22,2,1210,4
123,G2_Item_23,2,1166,4
124,G2_Item_24,2,1130,4
125,G2_Item_25,2,1119,3
126,G2_Item_26,2,1106,2
127,G2_Item_27,2,1089,3
128,G2_Item_28,2,1045,2
129,G2_Item_29,2,1044,4
130,G2_Item_30,2,1044,4
131,G2_Item_31,2,979,1
132,G2_Item_32,2,914,4
133,G2_Item_33,2,907,4
134,G2_Item_34,2,886,4
135,G2_Item_35,2,878,4
136,G2_Item_36,2,870,1
137,G2_Item_37,2,859,2
138,G2_Item_38,2,806,4
139,G2_Item_39,2,804,2
140,G2_Item_40,2,794,2
141,G2_Item_41,2,786,2
142,G2_Item_42,2,770,4
143,G2_Item_43,2,760,2
144,G2_Item_44,2,755,1
145,G2_Item_45,2,738,4
146,G2_Item_46,2,734,1
147,G2_Item_47,2,734,4
148,G2_Item_48,2,721,2
149,G2_Item_49,2,718,3
150,G2_Item_50,2,708,4
151,G2_Item_51,2,661,2
152,G2_Item_52,2,654,2
153,G2_Item_53,2,635,2
154,G2_Item_54,2,619,1
155,G2_Item_55,2,613,2
156,G2_Item_56,2,536,2
157,G2_Item_57,2,532,4
158,G2_Item_58,2,514,2
159,G2_Item_59,2,505,2
160,G2_Item_60,2,480,1
161,G2_Item_61,2,475,1
162,G2_Item_62,2,473,1
163,G2_Item_63,2,466,1
164,G2_Item_64,2,466,1
165,G2_Item_65,2,462,1
166,G2_Item_66,2,458,4
167,G2_Item_67,2,458,1
168,G2_Item_68,2,446,2
169,G2_Item_69,2,445,1
170,G2_Item_70,2,441,2
171,G2_Item_71,2,430,1
172,G2_Item_72,2,422,1
173,G2_Item_73,2,420,1
174,G2_Item_74,2,403,1
175,G2_Item_75,2,401,1
176,G2_Item_76,2,367,1
177,G2_Item_77,2,360,1
178,G2_Item_78,2,346,2
179,G2_Item_79,2,319,1
180,G2_Item_80,2,315,1
181,G2_Item_81,2,312,1
182,G2_Item_82,2,312,1
183,G2_Item_83,2,301,1
184,G2_Item_84,2,295,1
185,G2_Item_85,2,295,1
186,G2_Item_86,2,293,1
187,G2_Item_87,2,288,1
188,G2_Item_88,2,277,1
189,G2_Item_89,2,269,1
190,G2_Item_90,2,262,1
191,G2_Item_91,2,252,1
192,G3_Item_1,3,14659,15
193,G3_Item_2,3,9186,16
194,G3_Item_3,3,8880,20
195,G3_Item_4,3,7644,9
196,G3_Item_5,3,6710,1
197,G3_Item_6,3,6258,2
198,G3_Item_7,3,6174,6
199,G3_Item_8,3,5970,4
200,G3_Item_9,3,5885,9
201,G3_Item_10,3,5733,6
202,G3_Item_11,3,5730,4
203,G3_Item_12,3,5280,4
204,G3_Item_13,3,5261,6
205,G3_Item_14,3,5040,6
206,G3_Item_15,3,5040,4
207,G3_Item_16,3,4915,9
208,G3_Item_17,3,4840,5
209,G3_Item_18,3,4761,3
210,G3_Item_19,3,4578,9
211,G3_Item_20,3,4410,9
212,G3_Item_21,3,4388,2
213,G3_Item_22,3,4343,4
214,G3_Item_23,3,4316,6
215,G3_Item_24,3,4208,4
216,G3_Item_25,3,4118,4
217,G3_Item_26,3,3960,4
218,G3_Item_27,3,3938,4
219,G3_Item_28,3,3906,6
220,G3_Item_29,3,3893,4
221,G3_Item_30,3,3875,6
222,G3_Item_31,3,3870,3
223,G3_Item_32,3,3855,4
224,G3_Item_33,3,3851,4
225,G3_Item_34,3,3798,4
226,G3_Item_35,3,3791,3
227,G3_Item_36,3,3690,2
228,G3_Item_37,3,3623,4
229,G3_Item_38,3,3600,4
230,G3_Item_39,3,3551,4
231,G3_Item_40,3,3488,4
232,G3_Item_41,3,3339,6
233,G3_Item_42,3,3294,4
234,G3_Item_43,3,3294,6
235,G3_Item_44,3,3285,6
236,G3_Item_45,3,3240,2
237,G3_Item_46,3,3173,8
238,G3_Item_47,3,3083,4
239,G3_Item_48,3,2858,2
240,G3_Item_49,3,2768,2
241,G3_Item_50,3,2700,4
242,G3_Item_51,3,2588,2
243,G3_Item_52,3,2565,4
244,G3_Item_53,3,2565,4
245,G3_Item_54,3,2552,2
246,G3_Item_55,3,2541,4
247,G3_Item_56,3,2484,2
248,G3_Item_57,3,2385,4
249,G3_Item_58,3,2363,2
250,G3_Item_59,3,2322,3
251,G3_Item_60,3,2318,4
252,G3_Item_61,3,2214,4
253,G3_Item_62,3,2214,4
254,G3_Item_63,3,2133,2
255,G3_Item_64,3,2079,2
256,G3_Item_65,3,2052,2
257,G3_Item_66,3,2052,2
258,G3_Item_67,3,2045,2
259,G3_Item_68,3,1985,2
260,G3_Item_69,3,1863,2
261,G3_Item_70,3,1796,2
262,G3_Item_71,3,1780,1
263,G3_Item_72,3,1767,1
264,G3_Item_73,3,1661,1
265,G3_Item_74,3,1661,2
266,G3_Item_75,3,1661,2
267,G3_Item_76,3,1651,1
268,G3_Item_77,3,1530,1
269,G3_Item_78,3,1470,1
270,G3_Item_79,3,1461,1
271,G3_Item_80,3,1450,1
272,G3_Item_81,3,1433,1
273,G3_Item_82,3,1388,1
274,G3_Item_83,3,1373,1
275,G3_Item_84,3,1350,1
276,G3_Item_85,3,1313,1
277,G3_Item_86,3,1300,1
278,G3_Item_87,3,1260,1
279,G3_Item_88,3,1178,1
280,G3_Item_89,3,1175,1
281,G3_Item_90,3,1125,1
282,G3_Item_91,3,1050,1
283,G3_Item_92,3,1005,1
284,G3_Item_93,3,983,1
285,G3_Item_94,3,968,1
286,G3_Item_95,3,938,1
287,G3_Item_96,3,923,1
288,G3_Item_97,3,923,1
289,G3_Item_98,3,923,1
290,G3_Item_99,3,923,1
291,G3_Item_100,3,855,1
292,G3_Item_101,3,848,2
293,G3_Item_102,3,810,1
294,G3_Item_103,3,711,1
295,G4_Item_1,4,31688,10
296,G4_Item_2,4,25000,6
297,G4_Item_3,4,23760,4
298,G4_Item_4,4,22064,9
299,G4_Item_5,4,21000,4
300,G4_Item_6,4,20082,12
301,G4_Item_7,4,19096,9
302,G4_Item_8,4,18872,9
303,G4_Item_9,4,18240,4
304,G4_Item_10,4,16520,4
305,G4_Item_11,4,16310,5
306,G4_Item_12,4,16212,6
307,G4_Item_13,4,15680,9
308,G4_Item_14,4,15456,4
309,G4_Item_15,4,14364,6
310,G4_Item_16,4,14240,4
311,G4_Item_17,4,14112,4
312,G4_Item_18,4,13251,8
313,G4_Item_19,4,13000,1
314,G4_Item_20,4,12976,6
315,G4_Item_21,4,12584,8
316,G4_Item_22,4,12581,6
317,G4_Item_23,4,12296,6
318,G4_Item_24,4,12045,9
319,G4_Item_25,4,12000,4
320,G4_Item_26,4,11940,4
321,G4_Item_27,4,11880,4
322,G4_Item_28,4,11768,6
323,G4_Item_29,4,11760,4
324,G4_Item_30,4,11752,8
325,G4_Item_31,4,11520,4
326,G4_Item_32,4,11424,6
327,G4_Item_33,4,11280,4
328,G4_Item_34,4,10960,1
329,G4_Item_35,4,10920,4
330,G4_Item_36,4,10620,4
331,G4_Item_37,4,10542,6
332,G4_Item_38,4,10500,4
333,G4_Item_39,4,10380,4
334,G4_Item_40,4,10332,6
335,G4_Item_41,4,10260,4
336,G4_Item_42,4,10080,6
337,G4_Item_43,4,9960,4
338,G4_Item_44,4,9880,4
339,G4_Item_45,4,9749,6
340,G4_Item_46,4,9640,4
341,G4_Item_47,4,9600,4
342,G4_Item_48,4,9440,4
343,G4_Item_49,4,9115,3
344,G4_Item_50,4,8976,4
345,G4_Item_51,4,8974,4
346,G4_Item_52,4,7940,4
347,G4_Item_53,4,8830,4
348,G4_Item_54,4,8700,2
349,G4_Item_55,4,8680,4
350,G4_Item_56,4,8440,4
351,G4_Item_57,4,8380,4
352,G4_Item_58,4,8360,4
353,G4_Item_59,4,8240,4
354,G4_Item_60,4,8115,4
355,G4_Item_61,4,7758,4
356,G4_Item_62,4,7655,2
357,G4_Item_63,4,7472,4
358,G4_Item_64,4,7380,4
359,G4_Item_65,4,7140,4
360,G4_Item_66,4,6960,4
361,G4_Item_67,4,6824,2
362,G4_Item_68,4,6780,4
363,G4_Item_69,4,6624,2
364,G4_Item_70,4,6620,4
365,G4_Item_71,4,6554,3
366,G4_Item_72,4,6540,4
367,G4_Item_73,4,6152,2
368,G4_Item_74,4,6012,2
369,G4_Item_75,4,5724,2
370,G4_Item_76,4,5160,1
371,G4_Item_77,4,5076,2
372,G4_Item_78,4,5040,2
373,G4_Item_79,4,4282,1
374,G4_Item_80,4,4788,2
375,G4_Item_81,4,4624,2
376,G4_Item_82,4,4482,2
377,G4_Item_83,4,4428,2
378,G4_Item_84,4,4428,2
379,G4_Item_85,4,4240,1
380,G4_Item_86,4,3960,1
381,G4_Item_87,4,3940,1
382,G4_Item_88,4,3920,1
383,G4_Item_89,4,3780,2
384,G4_Item_90,4,3650,1
385,G4_Item_91,4,3640,1
386,G4_Item_92,4,3454,2
387,G4_Item_93,4,3180,4
388,G4_Item_94,4,3120,1
389,G4_Item_95,4,3040,1
390,G4_Item_96,4,2720,1
391,G4_Item_97,4,2660,1
392,G4_Item_98,4,2560,1
393,G4_Item_99,4,2514,1
394,G4_Item_100,4,2460,1
395,G4_Item_101,4,2400,1
396,G4_Item_102,4,2160,1
397,G4_Item_103,4,2100,1
398,轻量化锂电池,5,199900,16
399,单人郊游快艇,5,106500,18
400,氢燃料电池堆栈,5,101400,9
401,服务器机柜,5,97382,15
402,孔雀石雕件,5,96768,9
403,无人作战车,5,93753,12
404,大圣残缺石像,5,89461,10
405,刺绣千里江山图,5,88473,8
406,全自动生化分析仪,5,86130,12
407,波斯毯,5,85800,12
408,蜘蛛型自走机器人,5,82740,9
409,现代书法家题字,5,79825,6
410,错金铜鼎,5,78540,9
411,移动工作站,5,78120,9
412,豪华旅行摩托车,5,77700,9
413,病理监护仪,5,76233,4
414,重型全生态作战防弹衣,5,74745,12
415,大展宏图,5,73682,8
416,财神爷摆件,5,71499,6
417,数字调音台,5,70140,9
418,反器材狙击步枪,5,67600,10
419,中古牛皮沙发,5,65610,3
420,便携式超声诊断仪,5,62055,6
421,智能冰箱,5,61143,8
422,缂丝袍,5,60600,9
423,医用负压吸引机,5,60342,6
424,洛可可风格沙龙速写,5,58395,9
425,芒画派肖像油画,5,57540,9
426,翡翠观音,5,56700,3
427,模块化电磁突击步枪试用型,5,55770,8
428,黄庭经卷仿本,5,55440,2
429,曲面带鱼屏显示器,5,54495,6
430,伊比利亚橡果火腿,5,54180,6
431,宗教壁画残片,5,53550,6
432,锦绣山河靠山石,5,51801,6
433,高端VR套装,5,51660,6
434,竞技避震套装,5,51240,9
435,航空碳纤维鱼竿,5,50604,4
436,手术用显微镜,5,49920,4
437,金牙普洱茶,5,49200,1
438,发财树,5,48703,8
439,乌木椅,5,48300,9
440,枝状珊瑚,5,48096,3
441,隆中牌气压盘式制动器,5,45231,4
442,金佛塔,5,43650,6
443,蓝鳍金枪鱼腹,5,42975,4
444,背挂式无线电干扰发生器,5,42525,4
445,行业无人机,5,41850,4
446,心脏支架,5,40385,4
447,可调式尾翼,5,39690,6
448,手作羊奶酪,5,39600,4
449,海蓝宝晶体,5,39168,3
450,定制晚礼服,5,38745,6
451,亲签秋衣,5,38745,6
452,营造法式彩画作制度图样精仿本,5,37920,2
453,全画幅微单,5,37800,4
454,单兵水下推进器,5,37350,6
455,满分斯诺克纪念球杆,5,36511,6
456,敦煌遗书唐代写经卷仿制卷,5,35100,4
457,单兵战场信息系统终端,5,34490,4
458,竞技离合器套件,5,34425,4
459,托帕石原石,5,34408,4
460,西瓜碧玺,5,34344,1
461,白松露,5,33000,1
462,碳纤维轮毂,5,31950,4
463,唐刀,5,30600,4
464,智能控温空调,5,30159,3
465,浪漫主义风景素描原作,5,29700,4
466,便携式军用雷达,5,29500,4
467,银法典,5,29025,4
468,野生大红袍,5,29025,1
469,限量时尚杂志,5,28450,4
470,顶级化妆礼盒,5,27675,4
471,羊脂玉璧,5,27450,4
472,亲签球鞋,5,26605,2
473,赛车方向盘,5,25875,4
474,植物水彩图,5,25875,2
475,章丘铁锅,5,24969,2
476,祈祷书彩绘插页,5,24435,2
477,博纳普斯球场VIP赛季票,5,24332,1
478,变彩欧泊,5,21840,1
479,黄金打火机,5,21201,1
480,专业声卡,5,19845,2
481,康帝葡萄酒,5,19600,2
482,三十年茅台,5,18600,2
483,个性化肿瘤疫苗,5,16200,1
484,水晶杯,5,15542,1
485,貔貅茶宠,5,15345,1
486,铂金胸针,5,15325,1
487,电影定焦镜头,5,14850,1
488,南洋金珠,5,14520,1
489,狗头金,5,13332,1
490,西湖龙井明前,5,12825,1
491,长焦镜头,5,12675,1
492,野生皇冠鱼子酱,5,12600,1
493,高浓缩磁暴瘫痪手雷,5,12400,1
494,限定球星收藏卡,5,12225,1
495,私人飞机租赁证明,5,11175,1
496,机械腕表,5,9245,1
497,旗舰手机,5,7800,1
498,非洲之心,6,13145200,1
499,豪宅管理用黑盒,6,7402320,4
500,黑王子红宝石,6,3000000,1
501,养殖白玉籽和田玉,6,2516000,2
502,私人直升机黑匣子,6,1688400,4
503,永乐大典残本二,6,1553900,4
504,蓝鳍金枪鱼,6,1552500,15
505,超级跑车钥匙,6,1495000,1
506,永乐大典残本一,6,1491800,4
507,富春山居图,6,1236666,3
508,复苏呼吸机,6,1039000,9
509,百年人参,6,1039000,2
510,相控阵雷达,6,1003000,12
511,翡翠屏风,6,844000,16
512,双羊尊,6,567900,4
513,高斯振动匕首,6,531000,2
514,钻石原石巨粒,6,512000,9
515,超声波诊断仪,6,475000,9
516,AI服务器,6,470400,6
517,宝斯终身VIP会员卡,6,465000,1
518,火焰欧泊,6,457200,1
519,民用垂直起降飞行器,6,452800,15
520,碳纤维单体壳车身,6,444000,16
521,扶桑古太刀,6,422002,8
522,武夷山母树大红袍,6,390000,1
523,GPU计算柜,6,375000,15
524,可控核聚变电池包,6,362400,4
525,红木屏风,6,361000,16
526,重型巡航摩托车,6,357040,12
527,金编钟,6,322560,9
528,星光红宝石,6,316000,1
529,单兵外骨骼助力系统,6,305920,12
530,黑欧泊,6,295500,4
531,大目金枪鱼,6,294000,15
532,时尚轿跑,6,293400,15
533,青铜神树,6,287280,10
534,般若神掌秘籍,6,284519,4
535,亚威农少女,6,282240,9
536,金缕玉衣,6,281600,8
537,永恒时尚指南,6,266050,4
538,医用外骨骼,6,259165,6
539,电影级摄像机,6,258760,6
540,敦煌绢画,6,255840,3
541,云端100寸液晶电视,6,255115,6
542,陈年干邑,6,249000,2
543,清明上河图复刻,6,240660,6
544,全息雷达无人机,6,226800,9
545,007同款防弹西装,6,199080,6
546,环球小姐冠军皇冠,6,195154,2
547,黄唇鱼鱼胶,6,193200,4
548,自由引导人民,6,191800,6
549,金丝楠木椅,6,187812,4
550,全画幅相机,6,186900,4
551,冰种飘花翡翠,6,180000,4
552,金丝冠,6,179100,4
553,凯尔经,6,175500,4
554,全智能扫地机器人,6,170362,4
555,星空,6,170200,6
556,斯卡奥小金人,6,168000,2
557,藏区冬虫夏草,6,168000,2
558,拜占庭冠,6,167800,4
559,法贝热蛋,6,160200,4
560,戴珍珠耳环的少女,6,160200,4
561,古医书伤寒论,6,158940,2
562,天工开物,6,148840,4
563,古剑,6,143100,3
564,黄金权杖,6,141300,4
565,触摸感应仿生手,6,130296,1
566,亚历山大变石,6,128000,2
567,野生大黄鱼,6,127260,2
568,中画幅相机,6,122600,4
569,岩间圣母,6,120600,6
570,紫檀木金针针灸套装,6,112896,4
571,曜变天目盏,6,112500,1
572,激光手枪,6,104400,2
573,金绿猫眼石,6,94500,1
574,罗曼尼康帝,6,92880,2
575,美容中心终身会员金卡,6,88888,1
576,祖母绿宝石,6,87000,1
577,黄金水龙头,6,85623,1
578,鸽血红宝石,6,75500,1
579,大溪地黑珍珠,6,71500,1
580,全集成AI自动驾驶系统,6,68800,1
581,玉化砗磲,6,68400,1
582,佛跳墙,6,68100,1
583,维纳斯级澳洲白珠,6,56000,1
584,安宫牛黄丸,6,54675,1
585,麒麟处理器芯片,6,54600,1
586,刺猬猫全息阅读终端,6,54300,1
587,帕拉伊巴碧玺,6,52500,1
